Date,Word,Clue,Difficulty
1/9/2012,WAVE,A surfboard rides it,EASY
1/9/2012,OPEC,Oil ministers' grp.,EASY
1/9/2012,EXIT,Lighted sign near a stairway,EASY
1/9/2012,ACES,They're worth 1 or 11 in blackjack,EASY
1/9/2012,DARWIN,"""On the Origin of Species"" author",EASY
1/9/2012,LABS,Science class sessions,EASY
1/9/2012,ISAAC,Nearly sacrificed son of Abraham,EASY
1/9/2012,KNOTTY,"Gnarled, as a tree trunk",EASY
1/9/2012,SCALAWAG,Rapscallion,EASY
1/9/2012,SKIN,Dermatologist's study,EASY
1/9/2012,NARNIA,Fantasy realm of C. S. Lewis,EASY
1/9/2012,NEOPHYTE,Beginner,FAIR
1/9/2012,BUTANE,Gas in lighters,EASY
1/9/2012,KLEPTO,"Thief, in brief",EASY
1/9/2012,SCROD,"Catch of the day, say, in New England",EASY
1/9/2012,WACO,Baylor University's home,EASY
1/9/2012,LUNA,Goddess of the moon,EASY
1/9/2012,KRIS,Kringle or Kristofferson,EASY
1/9/2012,BERET,French cap,EASY
1/9/2012,EENY,"""___, meeny, miney, mo""",EASY
1/9/2012,SPECK,Particle,HARD
1/9/2012,WEAKEN,Undermine,EASY
1/9/2012,AXLES,Car rods,EASY
1/9/2012,VISA,MasterCard rival,EASY
1/9/2012,ETON,James Bond's school,EASY
1/9/2012,FRUGAL,Penny-pinching,EASY
1/9/2012,TALL,Like Dubai's Burj Khalifa,EASY
1/9/2012,REP,Member of the House: Abbr.,EASY
1/9/2012,ICICLE,One with a freezing point?,EASY
1/9/2012,ETHIC,Moral standard,FAIR
1/9/2012,QED,Math proof ending,EASY
1/9/2012,DISCS,"The chocolate parts of Oreos, e.g.",EASY
1/16/2012,STOOGES,"Moe, Larry and Curly",EASY
1/16/2012,GOOSING,Prodding into action,EASY
1/16/2012,OLDER,Like a big brother,FAIR
1/16/2012,ASEA,On a cruise,EASY
1/16/2012,TACTILE,Perceptible by touch,EASY
1/16/2012,ONEADAY,Big name in multivitamins,EASY
1/16/2012,NOW,This very minute,EASY
1/16/2012,AMOK,Frenzied,EASY
1/16/2012,MEDS,Docs prescribe them,FAIR
1/16/2012,AFRO,Bushy do,EASY
1/16/2012,JEWS,A majority of Israelis,EASY
1/16/2012,WRITTEN,Not oral,EASY
1/16/2012,ESTEES,Cosmetician Lauder and others,FAIR
1/16/2012,MASTERY,Expertise,EASY
1/16/2012,OMNIBUS,Compilation book,EASY
1/16/2012,EMPEROR,Tiberius or Charlemagne,EASY
1/16/2012,LANTANA,Flowering shrub common in the South,EASY
1/16/2012,DUET,Musical piece for two,EASY
1/16/2012,SNEERED,Laughed contemptuously,EASY
1/16/2012,DRY,Desertlike,EASY
1/16/2012,SHASTA,California peak,FAIR
1/16/2012,GNU,Bearded beast of Africa,EASY
1/16/2012,MONEYMONEYMONEY,1976 Abba hit,EASY
1/16/2012,ROI,"Louis XIV, par exemple",EASY
1/16/2012,FAD,It's all the rage,EASY
1/16/2012,PILOT,Aviator,EASY
1/16/2012,FACTS,"Statistics, e.g.",EASY
1/16/2012,AFLAT,Black key above G,EASY
1/16/2012,DRACO,Northern constellation,EASY
1/16/2012,ISLES,Capri and Wight,EASY
1/16/2012,TEA,"Pekoe, e.g.",EASY
1/16/2012,ONTO,Knowledgeable about,EASY
1/16/2012,PAID,No longer owed,FAIR
1/16/2012,GIG,Band's engagement,EASY
1/16/2012,GON,"Suffix with penta-, hexa-, hepta-, etc.",EASY
1/16/2012,MIRACLE,Backup singer for Smokey Robinson,EASY
1/16/2012,TANGO,"""It takes two"" to do this",EASY
1/16/2012,YAYS,Cheers for successes,EASY
1/16/2012,YOW,"""Ouch!""",EASY
1/16/2012,SPAM,E-mail that's sent out by the millions,EASY
1/16/2012,HILO,Largest city on the island of Hawaii,EASY
1/16/2012,SKIER,T-bar rider,EASY
1/16/2012,KUE,Letter before ar,FAIR
1/16/2012,CONE,Ice cream treat,EASY
1/16/2012,KLEE,Swiss artist Paul,FAIR
1/23/2012,DRILLS,Dentists' tools,FAIR
1/23/2012,RAID,Police action on a gambling ring,EASY
1/23/2012,SEN,Member of the upper house: Abbr.,EASY
1/23/2012,ANT,"""Carpenter"" or ""harvester"" insect",EASY
1/23/2012,RAIN,"Drizzle, say",EASY
1/23/2012,CAESAR,Roman leader who met his fate on the Ides of March,EASY
1/23/2012,AUDIO,Television input jack,EASY
1/23/2012,FEAR,Dread,DIFFICULT
1/23/2012,BRINK,Edge,EASY
1/23/2012,HADI,"""___ but known ...""",EASY
1/23/2012,OLAN,"Wife in ""The Good Earth""",EASY
1/23/2012,ROSY,Having a positive outlook,EASY
1/23/2012,ATIE,End in ___ (finish evenly),EASY
1/23/2012,FOOTINMOUTH,Embarrassingly imprudent,EASY
1/23/2012,MALTA,Mediterranean island country,EASY
1/23/2012,MAUL,Manhandle horribly,EASY
1/23/2012,TERP,U. of Maryland athlete,EASY
1/23/2012,LOIN,Cut of meat,EASY
1/23/2012,ITLL,"""___ cost you!""",FAIR
1/23/2012,BONO,Pro ___ (how some law work is done),EASY
1/23/2012,TOOTHANDNAIL,Fiercely,EASY
1/23/2012,AMNIOS,OB/GYNs perform them,EASY
1/23/2012,SYNC,In ___ (harmonious),MODERATE
1/23/2012,LOCH,___ Ness monster,EASY
1/23/2012,WES,"""Scream"" director Craven",FAIR
1/23/2012,NONET,Composition for nine musicians,EASY
1/23/2012,LENTIL,Popular soup legume,EASY
1/23/2012,KARAOKE,Sing-along at a bar,EASY
1/23/2012,BRAN,Raisin ___,FAIR
1/23/2012,WADEDIN,Entered up to one's ankles,EASY
1/23/2012,LIRR,Train line to Penn Sta.,EASY
1/23/2012,NOCAL,Like some diet drinks,EASY
1/23/2012,LIETO,Be untruthful with,EASY
1/23/2012,STRAY,Veer off the beaten path,EASY
1/23/2012,VIDA,"___ Blue, 1971 Cy Young Award winner",EASY
1/23/2012,ABE,"Lincoln, the Rail-Splitter",EASY
1/23/2012,URL,WWW address,FAIR
1/23/2012,UNION,"The ""U"" in E.U.",EASY
1/23/2012,DIA,"Day, to Diego",EASY
1/23/2012,LSATS,Exams for would-be attys.,EASY
1/23/2012,DIFFER,Be at odds (with),EASY
1/23/2012,WICCA,Pagan nature religion,EASY
1/23/2012,TABASCO,___ sauce,EASY
1/23/2012,ETHAN,Revolutionary Allen,FAIR
1/23/2012,RINDS,Outsides of melons,EASY
1/23/2012,PEONY,Spring bloom,HARD
1/23/2012,MINICAM,Easily portable movie maker,EASY
1/23/2012,IDOL,Winner of a Fox talent show beginning in 2002,EASY
1/23/2012,REN,Stimpy's canine pal,EASY
1/23/2012,HOOF,Part of a horse that's shod,EASY
1/23/2012,TOE,Follower of tic-tac,EASY
1/23/2012,FEUDS,Prolonged hostilities,EASY
1/23/2012,HOLY,___ Bible,EASY
1/30/2012,LSD,"'60s ""acid""",EASY
1/30/2012,ALOE,Soothing juice,EASY
1/30/2012,TITLE,Info in a library search request,EASY
1/30/2012,ERIN,Leprechaun land,EASY
1/30/2012,DYES,"Goes from blonde to brunette, say",EASY
1/30/2012,YARN,Knitter's ball,EASY
1/30/2012,MOORS,Heaths,EASY
1/30/2012,HASP,Lock fastener,EASY
1/30/2012,SPCA,Org. that shelters dogs and cats,EASY
1/30/2012,BIS,Ones not entirely gay or straight,EASY
1/30/2012,GEE,Word said while scratching one's head,EASY
1/30/2012,EGGS,Chicks hatch from them,EASY
1/30/2012,SNUBS,Social slights,EASY
1/30/2012,ELEC,"The ""E"" of G.E.: Abbr.",EASY
1/30/2012,TILE,Mah-jongg piece,FAIR
1/30/2012,ONESTARHOTELS,Not-so-fancy places to stay,EASY
1/30/2012,MOL,Collection of atoms: Abbr.,FAIR
1/30/2012,PADS,Small notebooks,EASY
1/30/2012,TART,Tasting like unripe apples,EASY
1/30/2012,NESTLE,Food giant whose brands include Gerber and Goobers,EASY
1/30/2012,HIP,"Cry said twice before ""hooray!""",EASY
1/30/2012,ATMS,$20 bill dispensers,EASY
1/30/2012,IRENES,Actresses Worth and Dunne,EASY
1/30/2012,TATERS,Spuds,EASY
1/30/2012,ANIME,Japanese cartoons,FAIR
1/30/2012,BEND,Show flexibility,EASY
1/30/2012,THEM,"""It's us against ___""",FAIR
1/30/2012,RYAN,Actor Gosling,EASY
1/30/2012,SEASON,Spring or fall,EASY
1/30/2012,NET,Badminton feature,EASY
1/30/2012,ISLES,Spots in the Caribbean,EASY
1/30/2012,SPEND,Buy things,EASY
1/30/2012,BIER,Coffin holder,EASY
1/30/2012,SETH,"Rogen of ""Superbad""",EASY
1/30/2012,SETTLE,Colonize,EASY
1/30/2012,PLIES,Layers of wood,EASY
1/30/2012,CELLO,Rostropovich's instrument,FAIR
1/30/2012,ACES,Untouchable tennis serves,EASY
1/30/2012,OATS,Cheerios are made with them,EASY
1/30/2012,ULNAS,Wrist/elbow connectors,EASY
1/30/2012,LET,Tennis umpire's cry,EASY
1/30/2012,SPREE,Shopper's wild outing,EASY
1/30/2012,ADS,Episode interruptions,EASY
1/30/2012,EMIR,Ruler of Kuwait,EASY
2/6/2012,LATER,Procrastinator's word,EASY
2/6/2012,BEST,Second to none,EASY
2/6/2012,ODEON,Old-fashioned music hall,FAIR
2/6/2012,TABLET,"iPad, for example",EASY
2/6/2012,EXACTA,Bet on a one-two finish,EASY
2/6/2012,HEDGES,Natural barriers between yards,EASY
2/6/2012,DRAG,Pull along,EASY
2/6/2012,RHINO,"Safari animal, informally",EASY
2/6/2012,SLUR,Speak drunkenly,EASY
2/6/2012,POPS,Boston ___ (orchestra),EASY
2/6/2012,GOLF,"Sport that's been called ""a good walk spoiled""",EASY
2/6/2012,ERASE,"Remove, as pencil marks",EASY
2/6/2012,LORNA,___ Doone cookies,EASY
2/6/2012,TORO,Spanish bull,EASY
2/6/2012,RAKE,Do a fall chore,EASY
2/6/2012,ZLOTY,Ruble : Russia :: ___ : Poland,EASY
2/6/2012,GALAXY,"Milky Way, for one",EASY
2/6/2012,KIWIS,"New Zealanders, informally",EASY
2/6/2012,CANINE,Fanglike tooth,EASY
2/6/2012,ABOVO,"From the beginning, in Latin",EASY
2/6/2012,GENT,"Mannerly man, briefly",EASY
2/6/2012,LOAFERS,Casual shoes,EASY
2/6/2012,BADHAIR,"Kind of day, grooming-wise",EASY
2/6/2012,EDGAR,Mystery writer's award,MODERATE
2/6/2012,GINSU,Infomercial knife,EASY
2/6/2012,SOOEY,"""Here, piggy piggy piggy!""",EASY
2/6/2012,ACTV,When Hamlet dies,EASY
2/6/2012,BEGUN,Commenced,FAIR
2/6/2012,CZECH,Prague native,EASY
2/6/2012,ELF,North Pole toymaker,EASY
2/6/2012,SNEEZY,Dwarf who's blessed a lot?,EASY
2/6/2012,EASEL,Painter's stand,FAIR
2/6/2012,STARTIN,Get to work (on),EASY
2/6/2012,GOHAYWIRE,Malfunction,EASY
2/6/2012,HOHUM,Yawn-inducing,EASY
2/6/2012,SOME,Amount between none and all,EASY
2/6/2012,ELIOT,J. Alfred Prufrock's creator T. S. ___,EASY
2/6/2012,XEROX,"Office copy, say",EASY
2/6/2012,TREK,"Long, hard journey",EASY
2/13/2012,REARWINDOW,1954 Hitchcock thriller,EASY
2/13/2012,EBOOK,Digital publication,EASY
2/13/2012,OREG,State north of Calif.,EASY
2/13/2012,LISP,Speak like Sylvester,MODERATE
2/13/2012,MARLONBRANDO,Vito Corleone portrayer,EASY
2/13/2012,ODIE,Dog often messed with by Garfield,EASY
2/13/2012,RAMEN,Japanese noodle soup,EASY
2/13/2012,ERASE,Wipe chalk from,EASY
2/13/2012,NEED,More than want,EASY
2/13/2012,CABS,They're often yellow or checkered,EASY
2/13/2012,CAESARS,___ Palace (Vegas venue),EASY
2/13/2012,LIEN,Legal claim,FAIR
2/13/2012,ESAU,Jacob's brother,FAIR
2/13/2012,IRAN,"Persia, today",MODERATE
2/13/2012,TART,Fruit-filled pastry,EASY
2/13/2012,MEMO,Note at the office,EASY
2/13/2012,BOOP,Flirty toon Betty ___,EASY
2/13/2012,BREADDOUGH,It's kneaded at a bakery,EASY
2/13/2012,RADIO,News and music source,EASY
2/13/2012,OVID,"Roman poet who wrote ""To be loved, be lovable""",EASY
2/13/2012,WAITINGFORGODOT,Samuel Beckett play with an unseen character,EASY
2/13/2012,SEAM,Line of stitches,EASY
2/13/2012,NUN,Convent inhabitant,EASY
2/13/2012,ELOPED,Ran away to wed,EASY
2/13/2012,EDGIER,"More ""out there""",EASY
2/13/2012,NAAN,Chicken tikka go-with,EASY
2/13/2012,POSE,Sit for a painting,EASY
2/13/2012,RUM,Bacardi product,EASY
2/13/2012,ABOARD,"""All ___!"" (conductor's cry)",FAIR
2/13/2012,ROSIE,First name in TV talk,HARD
2/13/2012,ITSOK,"""Don't worry about that""",EASY
2/13/2012,FOG,Frequent weather condition at the Golden Gate Bridge,EASY
2/13/2012,MPH,Speedometer meas.,EASY
2/13/2012,MISADD,"Write 2 + 7 = 10, e.g.",EASY
2/13/2012,ERODE,"Wash away, as a bank",EASY
2/13/2012,ATMS,"$20 bill providers, for short",EASY
2/13/2012,ONYOU,"""I'm keeping my eye ___!""",EASY
2/13/2012,RUING,Regretting,EASY
2/13/2012,MANIA,Fan frenzy,EASY
2/13/2012,RVER,"Cross-country camper, for short",EASY
2/13/2012,AFT,Toward the back of a boat,EASY
2/20/2012,MONDO,"World, in Italian",EASY
2/20/2012,TORSO,Part of the body above the waist,EASY
2/20/2012,ETCETC,"""And so on, and so on""",EASY
2/20/2012,HANGAR,Where airplanes are repaired,EASY
2/20/2012,ART,"""A work of ___ is a confession"": Camus",EASY
2/20/2012,SWOON,Show of overwhelming love,EASY
2/20/2012,LUSTAFTER,*Really hunger for,EASY
2/20/2012,BOMBS,"Things ""bursting in air""",EASY
2/20/2012,ORAMA,"Commercial suffix akin to ""a go-go""",EASY
2/20/2012,ETHAN,Patriot Allen with the Green Mountain Boys,EASY
2/20/2012,TIARA,Pageant headgear,EASY
2/20/2012,URN,Ash holder,FAIR
2/20/2012,CARELL,"Steve of ""The Office""",EASY
2/20/2012,INMATE,Prisoner,EASY
2/20/2012,IDS,"Driver's licenses and such, in brief",EASY
2/20/2012,SWEEP,"Four straight wins to start the World Series, e.g.",EASY
2/20/2012,VOIDS,Renders null,EASY
2/20/2012,SIR,"Francis Drake, Isaac Newton or Mix-a-Lot",EASY
2/20/2012,SLOVENE,Ljubljana dweller,EASY
2/20/2012,BAM,Blast sound,EASY
2/20/2012,WOW,"""Holy moly!""",FAIR
2/20/2012,FLO,___-Jo ('88 Olympics track star),EASY
2/20/2012,WUSS,Scaredy-cat,EASY
2/20/2012,DEEPS,Areas explored by submarines,EASY
2/20/2012,LYNDON,"The ""L"" of L.B.J.",EASY
2/20/2012,LAREDO,Texas city on the Rio Grande,HARD
2/20/2012,DONT,Word before know and care,EASY
2/20/2012,SEEPAST,Purposely ignore,EASY
2/20/2012,ONES,Low bills,EASY
2/20/2012,NORMA,"""___ Rae"" (Sally Field film)",EASY
2/20/2012,MILD,Not very spicy,EASY
2/20/2012,FEM,Not masc.,EASY
2/20/2012,FLA,State south of Ga.,EASY
2/20/2012,TERIYAKI,Dish marinated in sweetened soy sauce,EASY
2/20/2012,ERS,Hesitant sounds,HARD
2/20/2012,IRK,Needle,FAIR
2/20/2012,FUR,PETA target,EASY
2/20/2012,TED,Turner who founded CNN,EASY
2/27/2012,ICE,"Water, when it gets cold enough",EASY
2/27/2012,AMA,Docs' grp.,EASY
2/27/2012,ROOM,One of nine on a Clue board,EASY
2/27/2012,IRR,Abbr. on a garment sale tag,EASY
2/27/2012,TIER,Wedding cake feature,MODERATE
2/27/2012,LIMB,Bough,FAIR
2/27/2012,POSY,Small bouquet,EASY
2/27/2012,GRAVEL,Surface for an unpaved road,EASY
2/27/2012,ENRON,Energy giant that filed for bankruptcy in 2001,EASY
2/27/2012,FELT,Craps table surface,EASY
2/27/2012,INTRAY,Place for arriving office papers,EASY
2/27/2012,PIPPI,___ Longstocking (children's story character),EASY
2/27/2012,ASOF,Dating from,FAIR
2/27/2012,EGGS,Hens lay them,EASY
2/27/2012,HANDINTHETILL,Symbol of embezzlement,EASY
2/27/2012,TRIG,Calc prerequisite,EASY
2/27/2012,IDIG,"""Loud and clear, bro""",EASY
2/27/2012,KISSANDTELL,Betray a lover's confidences,EASY
2/27/2012,EYELID,Lashes grow from it,EASY
2/27/2012,LEE,Confederate general at Gettysburg,EASY
2/27/2012,ENHALO,Surround with a saintly light,EASY
2/27/2012,AOK,Fine and dandy,EASY
2/27/2012,PRAISE,Kudos,EASY
2/27/2012,KIND,Ilk,EASY
2/27/2012,EVILER,More fiendish,EASY
2/27/2012,TEAL,Freshwater duck,MODERATE
2/27/2012,RAMJET,Kind of engine for an airplane,EASY
2/27/2012,SUTURE,"Sew up, as a wound",EASY
2/27/2012,ANAGRAMS,"""Slot machines"" and ""cash lost in 'em,"" e.g.",EASY
2/27/2012,MISLED,Deceived,EASY
2/27/2012,TITLE,"""Annie"" or ""Annie Hall""",EASY
2/27/2012,OCHER,Autumn hue,EASY
2/27/2012,PONG,Ping-___,MODERATE
2/27/2012,HOBBY,Model building or stamp collecting,EASY
2/27/2012,FILM,"""Annie"" or ""Annie Hall""",EASY
2/27/2012,SOAKS,Good long baths,EASY
2/27/2012,ATEIT,"Suffered ignominious failure, in slang",EASY
2/27/2012,DOGGEREL,High-class poetry it isn't,EASY
2/27/2012,EDS,Workers with mss.,EASY
2/27/2012,DDE,Ike's inits.,EASY
2/27/2012,LENT,Gave temporarily,EASY
2/27/2012,ANGRY,Wrathful,EASY
2/27/2012,SAIDHI,Greeted informally,EASY
3/5/2012,NICKOFTIME,Eleventh hour,EASY
3/5/2012,IBET,Skeptic's rejoinder,EASY
3/5/2012,YESNO,Simple kind of question,EASY
3/5/2012,GIMLI,Dwarves' representative in the Fellowship of the Ring,EASY
3/5/2012,EGOISM,"Cause of ""I"" strain?",EASY
3/5/2012,GUNIT,Hit the accelerator,EASY
3/5/2012,RIB,Chest bone,EASY
3/5/2012,HIDEANDSEEK,Children's game hinted at by the circled letters,EASY
3/5/2012,DVR,"TiVo, for one, in brief",FAIR
3/5/2012,HERESIES,Inquisition targets,EASY
3/5/2012,KENT,"Clark ___, Superman's alter ego",EASY
3/5/2012,ARRAY,"Table of data, e.g.",EASY
3/5/2012,THEWIRE,Hit HBO series set in Baltimore,EASY
3/5/2012,SABER,Cavalry sword,MODERATE
3/5/2012,DAB,"Apply with a cotton ball, say",EASY
3/5/2012,EDU,School's URL ending,EASY
3/5/2012,BEARDEDLADY,Hirsute carnival attraction,EASY
3/5/2012,ESPRESSO,Order of coffee in a small cup,EASY
3/5/2012,ROAMED,Roved,EASY
3/5/2012,MOON,Apollo 11's destination,EASY
3/5/2012,AVERT,"Stave off, as a disaster",EASY
3/5/2012,ARESO,"""You ___ stupid!""",EASY
3/5/2012,WAKEN,Arouse from sleep,EASY
3/5/2012,CARRYME,Request from a tired child,EASY
3/5/2012,EXIT,Interstate sign with an arrow,EASY
3/5/2012,TIKI,___ torch (outdoor party lighting),EASY
3/5/2012,ATISSUE,Up for discussion,EASY
3/5/2012,MOSHER,One in a pit at a concert,EASY
3/5/2012,BERN,Capital of Switzerland,EASY
3/5/2012,NERDS,"""Study, study, study"" types",EASY
3/5/2012,IGIVE,"""Just tell me the answer""",EASY
3/5/2012,LIENS,Property claims,FAIR
3/5/2012,EDGY,"A little ""out there,"" as humor",EASY
3/5/2012,DIT,Dah's counterpart in Morse code,EASY
3/5/2012,TRAPS,Pitfalls,FAIR
3/5/2012,HALFMILE,One-third the length of the Belmont Stakes,EASY
3/5/2012,KOS,"Some boxing wins, for short",FAIR
3/5/2012,IMEASY,"""Whatever you want""",EASY
3/5/2012,OLD,Obsolete,EASY
3/5/2012,ODDSON,"Most likely to win, as a favorite",EASY
3/5/2012,TRYONE,Sign on a tray of samples,EASY
3/5/2012,DENMOTHER,Scouting mission leader?,EASY
3/5/2012,TAXI,Cab,EASY
3/5/2012,WOK,Chinese cooker,FAIR
3/5/2012,ABE,"Lincoln, informally",EASY
3/5/2012,KINGCOBRA,World's longest venomous snake,EASY
3/5/2012,BUNDT,Kind of cake that's ring-shaped,EASY
3/12/2012,OED,British ref. for wordsmiths,EASY
3/12/2012,TALC,Soft powder,EASY
3/12/2012,SUCH,___ as it is,EASY
3/12/2012,ICON,Clickable computer image,EASY
3/12/2012,POETS,Keats and Shelley,EASY
3/12/2012,AGREE,Be in harmony,MODERATE
3/12/2012,UNDUE,Lacking justification,EASY
3/12/2012,III,Rightmost number on a grandfather clock,EASY
3/12/2012,RELAX,Veg out,EASY
3/12/2012,TNT,Charge for a bang-up job?,EASY
3/12/2012,SNL,NBC comedy show since '75,EASY
3/12/2012,LOAN,"The ""L"" in S.&L.",EASY
3/12/2012,TONGS,Ice-grabbing tool,EASY
3/12/2012,ONION,Cutting one may bring tears to your eyes,EASY
3/12/2012,NOV,Oct. follower,EASY
3/12/2012,ZANE,Grey who wrote about the Old West,EASY
3/12/2012,CHE,___ Guevara,FAIR
3/12/2012,SAGO,Starch from a tropical palm,EASY
3/12/2012,HAVEAHEART,"""Show some mercy!""",EASY
3/12/2012,ROSIE,Symbolic riveter of W.W. II,EASY
3/12/2012,ACDC,High-voltage Australian band?,EASY
3/12/2012,LOWE,"Actor Rob of ""The West Wing""",EASY
3/12/2012,NONUKES,Peacenik's mantra,EASY
3/12/2012,ICEDUP,"Became a winter hazard, as a road",EASY
3/12/2012,RUNIN,Quarrel,HARD
3/12/2012,SPLIT,Bowler's challenge,EASY
3/12/2012,SCAR,Battle reminder,EASY
3/12/2012,DRNO,James Bond's film debut,EASY
3/12/2012,ODE,Keats or Shelley work,EASY
3/12/2012,TOMTOMS,Native American drums,EASY
3/12/2012,NORTHSEA,Watery expanse between England and Scandinavia,EASY
3/12/2012,HOPE,Optimist's feeling,EASY
3/12/2012,OSS,W.W. II intelligence org.,MODERATE
3/12/2012,LION,Leo's symbol,EASY
3/12/2012,GODS,"""Ye ___!""",EASY
3/12/2012,SNEEZE,Eruption that might elicit a blessing,EASY
3/12/2012,ORG,Web site alternative to com or edu,EASY
3/12/2012,FALSETTO,Unnaturally high voice,EASY
3/12/2012,ALA,State between Miss. and Ga.,EASY
3/12/2012,TMAN,"I.R.S. agent, e.g., informally",EASY
3/12/2012,SEGA,Company whose mascot is Sonic the Hedgehog,EASY
3/12/2012,NSA,Org. protecting U.S. secrets,EASY
3/12/2012,CUT,Abridge,EASY
3/12/2012,EASYDOESIT,"""Careful!""",EASY
3/19/2012,NIT,Pedantic quibble,EASY
3/19/2012,STRIVE,Vie (for),EASY
3/19/2012,GMT,World clock std.,EASY
3/19/2012,MEET,Encounter,MODERATE
3/19/2012,PETE,Rose of the diamond,EASY
3/19/2012,STAGE,Wild West transport,MODERATE
3/19/2012,NINAS,Guadalajara girls,EASY
3/19/2012,VAULT,Place for gold to be stored,EASY
3/19/2012,TUNIS,Africa's northernmost capital,EASY
3/19/2012,GREEK,"From Athens, say",EASY
3/19/2012,HDTV,Sharp product from Sharp,EASY
3/19/2012,MIAMI,"""___ Vice""",EASY
3/19/2012,ORAL,___ contraceptive,EASY
3/19/2012,TOTEM,Image on an Indian pole,EASY
3/19/2012,POOR,Destitute,EASY
3/19/2012,OTIS,"Redding who sang ""The Dock of the Bay""",EASY
3/19/2012,UNREEL,"Let out, as a fishing line",EASY
3/19/2012,ELO,"""Can't Get It Out of My Head"" rock grp.",EASY
3/19/2012,SERUM,Clear part of blood,EASY
3/19/2012,SCHWA,"Either the first or last vowel sound in ""Alaska""",EASY
3/19/2012,KAHN,"Actress Madeline of ""Blazing Saddles""",EASY
3/19/2012,THEGODFATHER,Academy Award-winning film released in March 1972,FAIR
3/19/2012,KIMONOS,Japanese robes,EASY
3/19/2012,NAVIGATE,Steer,EASY
3/19/2012,TIVO,What may give pause to couch potatoes?,EASY
3/19/2012,SLEEVES,What tank tops lack,EASY
3/19/2012,TEDIUM,Ho-humness,EASY
3/19/2012,ERRANT,Straying,HARD
3/19/2012,STUMP,Tree remnant,EASY
3/19/2012,THREE,Number of little pigs or blind mice,EASY
